d_first_hi,d_first_lo,d_first_token,d_name_hi,d_name_level,d_name_lo,method,model,n_wrong,nameconf_direct,nameconf_method,stratum
0.2595992010233224,0.22638016287557763,0.24227962804001732,0.24776540812501913,0.23090383339290005,0.21383578985996082,vcd,q4b,407,0.4009441071032249,0.631847940496125,low_acc
0.1457618340994505,0.10272364999660674,0.12405930164982291,0.11641195577567096,0.09744374711386185,0.07882777235181025,m3id,q4b,425,0.4006609035144147,0.49810465062827664,low_acc
0.16526813533653253,0.15063626939771405,0.15801314853182227,0.17105237525303077,0.16297830518553885,0.1548471610000023,dola,q4b,443,0.39421630901707866,0.5571946142026175,low_acc
0.2101260232291042,0.18159396364880176,0.19576315550410298,0.22228362514223235,0.20773402991027268,0.19357978325511468,deco,q4b,451,0.3900344192705368,0.5977684491808096,low_acc
0.27749392729724787,0.18436776418501225,0.22958920077538827,0.2545632525050941,0.20715513404725425,0.1640293989013658,vcd,q4b,71,0.42052095047951515,0.6276760845267694,high_acc
0.2216034154205218,0.09995553548569265,0.15918579200903574,0.1988326420710451,0.14165892475350314,0.08824094332532144,m3id,q4b,69,0.4121233147245723,0.5537822394780754,high_acc
0.16487835639568627,0.1257545599988738,0.14450045907106557,0.16431012741237505,0.14468975009359408,0.12628334896824314,dola,q4b,61,0.43945617291873634,0.5841459230123305,high_acc
0.27744587088788025,0.20451699125237371,0.24034135318116137,0.30004936038336166,0.26200575977808055,0.22242906337798984,deco,q4b,76,0.42124677876453215,0.6832525385426127,high_acc
0.23005213472038577,0.19265780340987104,0.21173460842177058,0.21055484163703184,0.1917914355977326,0.1739793948148653,vcd,q9b,418,0.33923650404646843,0.531027939644201,low_acc
0.18178486799804774,0.13770520819548882,0.15891569813268375,0.15312059674353562,0.13417524050325755,0.11390989919202424,m3id,q9b,452,0.3328301833588918,0.4670054238621494,low_acc
0.2210595522401956,0.18892105710723273,0.2046645269515217,0.1972810544082429,0.18028258154273044,0.16413085175195263,dola,q9b,457,0.33152573730304313,0.5118083188457736,low_acc
0.08975791059959455,0.07469174043927551,0.08154939360066549,0.12290794520690276,0.1135564438458793,0.10432269297694223,deco,q9b,447,0.3364194753163333,0.4499759191622126,low_acc
0.25828332924097774,0.15290679323673248,0.20275936096906663,0.2337418115382997,0.17657838000043108,0.11801470838379258,vcd,q9b,50,0.36952547139209924,0.5461038513925304,high_acc
0.21639358207583423,0.08354984614998101,0.14673838287591934,0.1893823122252159,0.12247450393257017,0.06377776304995762,m3id,q9b,50,0.35768490018334814,0.4801594041159184,high_acc
0.3052060515242251,0.22981869814967787,0.26684884908231526,0.2738752006928568,0.22590246912274198,0.17507920660796164,dola,q9b,74,0.40745139416430803,0.6333538632870501,high_acc
0.07801889142298951,0.052271053535824126,0.06506287290694866,0.09650258068630613,0.08287591322657527,0.06838760582727152,deco,q9b,47,0.36904946490641777,0.45192537813299294,high_acc
0.2661266914124421,0.23575610488163015,0.2512146366400677,0.25408814520745765,0.2386559250773894,0.22357944011390354,vcd,llava16,570,0.36586277080131757,0.6045186958787069,low_acc
0.19176371002262055,0.14983044341433308,0.17113000754428948,0.16515329551505248,0.14541905825463639,0.1259602603329466,m3id,llava16,575,0.3645245878322713,0.5099436460869077,low_acc
0.1206511000645751,0.10966127860553142,0.11514737611671663,0.12142132429843454,0.1156194864963418,0.10993722927010749,dola,llava16,530,0.3783446060425574,0.49396409253889906,low_acc
0.047856133291681875,0.04210813040679446,0.04498758351084272,0.0613689543715661,0.056937169854650964,0.05278305627636721,deco,llava16,506,0.38767002974575554,0.44460719960040657,low_acc
0.2927285598512267,0.22543515630433675,0.2600927891235956,0.27585648857885164,0.23991434572471318,0.2053847007715294,vcd,llava16,142,0.3686203346596041,0.6085346803843172,high_acc
0.2566421764223156,0.1533011672464577,0.20379056721120267,0.24065886329833708,0.18815167992536808,0.14125431188372323,m3id,llava16,111,0.35403959919317013,0.5421912791185381,high_acc
0.11460799756360814,0.0905044368686194,0.10281395420749137,0.12477774357086369,0.11092649092115003,0.09766679108655958,dola,llava16,94,0.3856059692949304,0.4965324602160804,high_acc
0.053809508705859654,0.040926945176753375,0.04711871160255684,0.06513277848347061,0.057791881568101416,0.0504025131794659,deco,llava16,91,0.3900633376690471,0.44785521923714844,high_acc
0.2563788246881339,0.22674866368341065,0.2417367169945557,0.26441257342841173,0.24712516990666866,0.2307587678464116,vcd,internvl4b,579,0.3024406960740002,0.5495658659806688,low_acc
0.18052037191410095,0.14255491372102347,0.16125600564683604,0.15956971110448515,0.14194510255963572,0.12489341015505011,m3id,internvl4b,585,0.30292415526741623,0.4448692578270519,low_acc
0.541658139354501,0.5090426982009855,0.5249624291763586,0.5352939422621389,0.5175168912597419,0.4982383740657624,dola,internvl4b,578,0.3014349085134898,0.8189517997732316,low_acc
0.06915262415685092,0.06143739317252566,0.0650338359894007,0.08197876531311138,0.07556661757665106,0.06932602479090211,deco,internvl4b,582,0.3040652370792197,0.37963185465587074,low_acc
0.2309816756564163,0.15217777923632836,0.19203766135825323,0.22036446164278128,0.17550343294783727,0.13222177384695474,vcd,internvl4b,97,0.30256508073032456,0.47806851367816194,high_acc
0.16973571839431917,0.08617404061591341,0.12837921588548593,0.16088599364232775,0.11655586187994131,0.07676975165806084,m3id,internvl4b,84,0.29593511784569415,0.4124909797256356,high_acc
0.5125100252861008,0.46157051602647425,0.4867805828225804,0.5139089350125416,0.48240669320565793,0.4507404485779409,dola,internvl4b,187,0.35308599441615746,0.8354926876218154,high_acc
0.10161151289521307,0.06194895586689537,0.08037624792771393,0.10642252990277812,0.085093790570079,0.0650567742324403,deco,internvl4b,89,0.29754253059840746,0.38263632116848645,high_acc
