abstain_direct,abstain_method,acc_direct,acc_method,break_rate,conf_direct,conf_method,dconf_all,dconf_un_hi,dconf_un_lo,dconf_unchanged,dece,dece_hi,dece_lo,ece_direct,ece_method,method,model,n,n_unchanged,n_with_conf,rescue_rate,stratum
0.105,0.105,0.16,0.21666666666666667,0.10416666666666667,0.40676358532250706,0.6669399190825901,0.26017633376008303,0.2710743259689347,0.23619478739064298,0.25345170800433015,0.16671723891847406,0.19969096635929384,0.12405426372993662,0.26256484829680216,0.4292820872152762,vcd,q4b,600,330,537,0.0873015873015873,low_acc
0.105,0.105,0.16,0.18666666666666668,0.11458333333333333,0.40676358532250706,0.575895189267741,0.16913160394523397,0.10029726557477432,0.062417541041970254,0.08034917934852488,0.1101637079590303,0.1372509834784246,0.06932702668124617,0.26256484829680216,0.37272855625583245,m3id,q4b,600,425,537,0.05357142857142857,low_acc
0.105,0.105,0.16,0.15666666666666668,0.041666666666666664,0.40676358532250706,0.563033575979469,0.15626999065696195,0.16502005221943059,0.1515206332917708,0.1583688156607077,0.13081623659620067,0.15658142374112952,0.0991996388590535,0.26256484829680216,0.39338108489300283,dola,q4b,600,516,537,0.003968253968253968,low_acc
0.105,0.105,0.16,0.14333333333333334,0.15625,0.40676358532250706,0.5902875569446127,0.18352397162210565,0.1957888300123159,0.16830475974254244,0.18171312626717345,0.17195222601710747,0.1993092293888615,0.13862290776798453,0.26256484829680216,0.4345170743139096,deco,q4b,600,448,537,0.00992063492063492,low_acc
0.06,0.06,0.8366666666666667,0.8216666666666667,0.035856573705179286,0.6342508962232594,0.8145952149168819,0.18034431869362264,0.18788435579736798,0.1626582526194129,0.17559567787405533,-0.144745621301815,-0.11064304235327105,-0.17102180777328835,0.2558200257625563,0.11107440446074128,vcd,q4b,600,434,564,0.09183673469387756,high_acc
0.06,0.06,0.8366666666666667,0.825,0.01593625498007968,0.6342508962232594,0.6702304985506314,0.035979602327372164,0.027761348356830688,0.010019979988178496,0.018274481756472016,-0.037946660018770395,-0.020324420834910126,-0.05681143090300747,0.2558200257625563,0.2178733657437859,m3id,q4b,600,543,564,0.01020408163265306,high_acc
0.06,0.06,0.8366666666666667,0.8383333333333334,0.00398406374501992,0.6342508962232594,0.7718015754899235,0.13755067926666414,0.14380465078618912,0.1308459323623003,0.137169828080655,-0.12411461588233072,-0.10661352354506978,-0.13847543906977788,0.2558200257625563,0.13170540988022558,dola,q4b,600,551,564,0.030612244897959183,high_acc
0.06,0.06,0.8366666666666667,0.8133333333333334,0.03187250996015936,0.6342508962232594,0.7835624424859564,0.14931154626269713,0.1587154784135549,0.13614090483304847,0.1475139081363052,-0.12801462575687583,-0.08703309034484867,-0.15437038190651406,0.2558200257625563,0.12780540000568047,deco,q4b,600,518,564,0.02040816326530612,high_acc
0.0,0.0,0.24666666666666667,0.30333333333333334,0.16891891891891891,0.39468493084112805,0.6167342937240998,0.22204936288297175,0.20101280310484287,0.15852026202279582,0.18033799028896785,0.16538269621630514,0.19572808718029405,0.13275621357746425,0.14801826417446134,0.3134009603907665,vcd,q9b,600,286,600,0.13053097345132744,low_acc
0.0,0.0,0.24666666666666667,0.24666666666666667,0.14189189189189189,0.39468493084112805,0.5417460676282644,0.1470611367871364,0.07124755962055988,0.04165618973816263,0.0557087786238769,0.14734372961024444,0.1734032251555473,0.11806877549923953,0.14801826417446134,0.2953619937847058,m3id,q9b,600,435,600,0.046460176991150445,low_acc
